[30,30]
(10,8)
(15,28) | (26,8)
(20,29,1,1)
(9,17,1,1)
(15,1,1,1)
(16,29,1,1)
(14,29,1,1)
(22,22,1,1)
(7,2,1,1)
(8,7,1,1)
(23,19,1,1)
(23,5,1,1)
(25,3,1,1)
(28,17,1,1)
(29,23,1,1)
(26,15,1,1)
(16,7,1,1)
(11,20,1,1)
(25,23,1,1)
(9,11,1,1)
(15,12,1,1)
(3,24,1,1)
(26,3,1,1)
(20,2,1,1)
(22,2,1,1)
(23,15,1,1)
(11,25,1,1)
(3,14,1,1)
(29,15,1,1)
(8,16,1,1)
(3,29,1,1)
(16,13,1,1)
(2,18,1,1)
(20,16,1,1)
(16,22,1,1)
(22,11,1,1)
(8,8,1,1)
(3,26,1,1)
(24,0,1,1)
(29,15,1,1)
(1,27,1,1)
(4,6,1,1)
(14,24,1,1)
(26,0,1,1)
(25,22,1,1)
(0,18,1,1)
(15,15,1,1)
(7,5,1,1)
(26,28,1,1)
(16,16,1,1)
(20,11,1,1)
(18,14,1,1)
(13,15,1,1)
(17,9,1,1)
(25,19,1,1)
(12,30,1,1)
(2,6,1,1)
(1,24,1,1)
(1,25,1,1)
(7,1,1,1)
(26,30,1,1)
(13,6,1,1)
(25,9,1,1)
(16,17,1,1)
(7,22,1,1)
(13,6,1,1)
(26,7,1,1)
(2,13,1,1)
(0,25,1,1)
(19,25,1,1)
(7,19,1,1)
(20,18,1,1)
(8,21,1,1)
(29,15,1,1)
(29,25,1,1)
(13,27,1,1)
(0,22,1,1)
(2,14,1,1)
(13,8,1,1)
(24,1,1,1)
(19,22,1,1)
(8,27,1,1)
(5,17,1,1)
(16,30,1,1)
(8,8,1,1)
(18,13,1,1)
(26,5,1,1)
(8,0,1,1)
(23,10,1,1)
(16,15,1,1)
(2,26,1,1)
(0,8,1,1)
(19,13,1,1)
(24,9,1,1)
(2,6,1,1)
(9,8,1,1)
(6,1,1,1)
(16,16,1,1)
(15,15,1,1)
(30,18,1,1)
(4,30,1,1)
(27,12,1,1)
(5,14,1,1)
(17,11,1,1)
(29,1,1,1)
(4,27,1,1)
(7,14,1,1)
(14,9,1,1)
(9,27,1,1)
(29,3,1,1)
(14,25,1,1)
(26,10,1,1)
(16,16,1,1)
(8,28,1,1)
(0,18,1,1)
(0,6,1,1)
(4,12,1,1)
(11,20,1,1)
(25,12,1,1)
(15,8,1,1)
(17,1,1,1)
(7,19,1,1)
(0,16,1,1)
(1,30,1,1)
(22,0,1,1)
(15,24,1,1)
(15,0,1,1)
(11,18,1,1)
(28,1,1,1)
(10,6,1,1)
(28,11,1,1)
(3,13,1,1)
(0,23,1,1)
(23,27,1,1)
(28,26,1,1)
(29,8,1,1)
(13,15,1,1)
(16,20,1,1)
(27,8,1,1)
(22,16,1,1)
(24,13,1,1)
(27,7,1,1)
(4,29,1,1)
(21,23,1,1)
(17,12,1,1)
(12,0,1,1)
(5,6,1,1)
(0,28,1,1)
(15,14,1,1)
(2,19,1,1)
(25,6,1,1)
(16,9,1,1)
(3,15,1,1)
(8,12,1,1)
(1,2,1,1)
(6,25,1,1)
(17,30,1,1)
(9,4,1,1)
(27,17,1,1)
(1,24,1,1)
(26,25,1,1)
(25,14,1,1)
(13,16,1,1)
(25,11,1,1)
(6,8,1,1)
(16,27,1,1)
(10,26,1,1)
(21,24,1,1)
(16,2,1,1)
(29,19,1,1)
(20,10,1,1)
(14,8,1,1)
(5,19,1,1)
(19,16,1,1)
(4,14,1,1)
(2,6,1,1)
(20,11,1,1)
(16,12,1,1)
(19,18,1,1)
(26,21,1,1)
(24,8,1,1)
(16,27,1,1)
(5,16,1,1)
(4,25,1,1)
(13,14,1,1)
(6,14,1,1)
(19,17,1,1)
(10,12,1,1)
(17,12,1,1)
(12,9,1,1)
(19,15,1,1)
(15,20,1,1)
(7,30,1,1)
(30,5,1,1)
(3,18,1,1)
(27,26,1,1)
(26,11,1,1)
(27,0,1,1)
(21,24,1,1)
(12,22,1,1)
(13,1,1,1)
(7,5,1,1)
(20,9,1,1)
(22,28,1,1)
(3,4,1,1)
(10,20,1,1)
(12,7,1,1)
(7,24,1,1)
(18,13,1,1)
(12,15,1,1)
(9,29,1,1)
(12,28,1,1)
(18,27,1,1)
(25,12,1,1)
(14,20,1,1)
(4,29,1,1)
(16,0,1,1)
(13,8,1,1)
(20,19,1,1)
(30,3,1,1)
(20,6,1,1)
(19,12,1,1)
(14,15,1,1)
(30,27,1,1)
(24,15,1,1)
(10,13,1,1)
(24,4,1,1)
(27,6,1,1)
(5,23,1,1)
(26,6,1,1)
(15,20,1,1)
(25,29,1,1)
(11,17,1,1)
(21,21,1,1)
(8,17,1,1)
(13,28,1,1)
(25,21,1,1)
(14,14,1,1)
(21,19,1,1)
(9,9,1,1)
(19,14,1,1)
(28,10,1,1)
(8,25,1,1)
(17,29,1,1)
(29,11,1,1)
(5,26,1,1)
(29,19,1,1)
(13,16,1,1)
(29,8,1,1)
(24,30,1,1)
(6,0,1,1)
(21,23,1,1)
(9,0,1,1)
(27,14,1,1)
(19,18,1,1)
(4,25,1,1)
(21,3,1,1)
(17,18,1,1)
(7,3,1,1)
(24,2,1,1)
(23,20,1,1)
(0,17,1,1)
(10,14,1,1)
(15,2,1,1)
(14,0,1,1)
(26,26,1,1)
(12,2,1,1)
(14,19,1,1)
(29,7,1,1)
(8,17,1,1)
(13,0,1,1)
(13,1,1,1)
(25,4,1,1)
(26,17,1,1)
(0,7,1,1)
(27,9,1,1)
(9,14,1,1)
(17,15,1,1)
(4,14,1,1)
(0,10,1,1)
(29,14,1,1)
(23,18,1,1)
(19,7,1,1)
(2,24,1,1)
(13,0,1,1)
(24,17,1,1)
(19,24,1,1)
(25,25,1,1)
(2,9,1,1)
(18,13,1,1)
(24,7,1,1)
(12,12,1,1)
(27,24,1,1)
(29,7,1,1)
(12,12,1,1)
(12,11,1,1)
(23,7,1,1)
(15,15,1,1)
(21,2,1,1)
(23,19,1,1)
(22,7,1,1)
(22,23,1,1)
